PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1984,10.5,-71.5,18.33,20.94,22.7,23.0,21.52,19.64,17.94,19.1,18.88,17.29,16.19,17.04,19.37
ALLSKY_SFC_SW_DWN,1984,10.5,-72.5,17.85,19.04,20.26,21.96,18.45,18.31,19.36,17.82,18.12,15.91,15.13,15.51,18.14
ALLSKY_SFC_SW_DWN,1984,10.5,-73.5,19.46,19.57,21.92,23.1,20.31,19.75,20.31,17.79,18.28,15.84,15.78,18.92,19.25
ALLSKY_SFC_SW_DWN,1984,10.5,-74.5,19.02,19.92,21.29,22.22,19.89,18.43,19.9,17.67,19.12,15.63,16.06,18.72,18.99
ALLSKY_SFC_SW_DWN,1984,10.5,-75.5,17.79,18.42,19.55,19.97,19.77,16.16,16.81,17.56,17.65,14.94,15.72,18.01,17.69
ALLSKY_SFC_SW_DWN,1984,10.5,-76.5,18.09,18.04,19.41,19.94,20.5,15.98,16.61,17.51,16.79,14.28,15.15,18.52,17.57
ALLSKY_SFC_SW_DWN,1984,11.5,-71.5,17.64,20.0,22.17,22.92,21.99,19.45,19.04,20.36,20.31,17.98,16.71,17.16,19.64
ALLSKY_SFC_SW_DWN,1984,11.5,-72.5,18.04,20.51,20.67,22.64,21.99,18.77,18.68,18.78,19.07,17.08,15.85,15.75,18.98
ALLSKY_SFC_SW_DWN,1984,11.5,-73.5,16.67,17.95,16.78,19.65,19.97,15.29,16.24,17.5,18.1,16.91,16.0,16.13,17.26
ALLSKY_SFC_SW_DWN,1984,11.5,-74.5,18.12,19.25,19.79,20.44,20.96,16.96,16.82,18.32,18.86,17.15,17.06,18.29,18.5
ALLSKY_SFC_SW_DWN,1984,11.5,-75.5,18.84,19.68,21.08,21.06,21.93,17.77,16.94,19.22,18.49,16.8,17.31,18.76,18.99
ALLSKY_SFC_SW_DWN,1984,11.5,-76.5,18.87,19.0,20.78,21.3,21.01,16.86,17.1,17.67,17.86,15.41,16.52,18.21,18.38
ALLSKY_SFC_SW_DWN,1984,12.5,-71.5,16.36,18.41,19.55,20.83,21.06,18.47,18.33,20.94,20.34,18.65,16.84,16.02,18.81
ALLSKY_SFC_SW_DWN,1984,12.5,-72.5,17.79,19.68,21.28,21.22,22.34,19.4,17.88,20.52,21.16,18.54,17.3,17.4,19.54
ALLSKY_SFC_SW_DWN,1984,12.5,-73.5,18.95,20.46,21.7,21.49,22.88,19.89,18.08,21.27,21.26,18.85,17.62,17.82,20.02
ALLSKY_SFC_SW_DWN,1984,12.5,-74.5,18.85,20.17,22.06,21.63,22.72,19.86,18.72,20.66,20.34,18.73,17.16,17.51,19.87
ALLSKY_SFC_SW_DWN,1984,12.5,-75.5,18.73,19.88,21.91,21.95,22.47,19.41,18.5,20.31,19.46,17.74,16.95,17.19,19.54
ALLSKY_SFC_SW_DWN,1984,12.5,-76.5,18.93,19.49,21.68,22.23,22.02,18.17,17.8,19.52,19.77,17.08,16.22,17.3,19.18
ALLSKY_SFC_SW_DWN,1984,7.5,-71.5,17.87,19.54,19.48,19.19,16.16,14.85,16.03,15.5,17.92,16.36,15.49,15.11,16.95
ALLSKY_SFC_SW_DWN,1984,7.5,-72.5,16.25,17.4,17.71,18.32,15.65,14.3,14.13,15.14,15.89,14.69,13.82,13.19,15.53
ALLSKY_SFC_SW_DWN,1984,7.5,-73.5,17.65,18.31,18.8,18.05,17.71,16.83,15.06,17.67,17.75,15.79,15.17,17.71,17.21
ALLSKY_SFC_SW_DWN,1984,7.5,-74.5,18.31,17.86,18.9,19.22,18.09,18.78,18.76,17.88,18.31,15.93,15.49,16.06,17.8
ALLSKY_SFC_SW_DWN,1984,7.5,-75.5,16.7,16.05,16.69,17.81,16.83,16.6,16.1,16.19,17.14,15.4,14.82,13.7,16.17
ALLSKY_SFC_SW_DWN,1984,7.5,-76.5,15.68,14.63,15.24,17.34,15.57,14.61,16.07,16.13,16.11,15.1,14.28,13.27,15.34
ALLSKY_SFC_SW_DWN,1984,8.5,-71.5,17.22,19.05,18.92,19.76,16.12,15.22,15.42,16.05,16.45,15.81,14.83,13.65,16.53
ALLSKY_SFC_SW_DWN,1984,8.5,-72.5,16.39,18.41,18.06,18.77,18.57,16.81,15.54,18.49,19.03,17.47,16.43,12.58,17.2
ALLSKY_SFC_SW_DWN,1984,8.5,-73.5,18.13,19.07,19.14,18.84,18.47,18.56,17.57,17.71,18.57,15.89,15.44,16.22,17.79
ALLSKY_SFC_SW_DWN,1984,8.5,-74.5,18.38,19.11,18.95,19.14,18.14,17.4,18.63,18.49,18.27,15.86,15.93,17.05,17.94
ALLSKY_SFC_SW_DWN,1984,8.5,-75.5,17.91,17.31,18.62,18.89,18.64,16.97,17.41,17.32,18.41,16.3,15.73,17.08,17.55
ALLSKY_SFC_SW_DWN,1984,8.5,-76.5,16.64,16.85,17.86,18.88,17.63,15.46,16.23,17.25,17.91,16.71,15.38,16.26,16.92
ALLSKY_SFC_SW_DWN,1984,9.5,-71.5,16.08,18.82,18.55,17.86,18.82,16.64,14.9,18.12,18.01,17.49,15.98,15.8,17.25
ALLSKY_SFC_SW_DWN,1984,9.5,-72.5,17.88,19.18,20.1,21.12,19.25,19.26,17.27,19.03,19.32,16.71,16.13,15.19,18.36
ALLSKY_SFC_SW_DWN,1984,9.5,-73.5,18.03,20.09,20.25,20.51,19.13,18.64,19.41,18.96,19.23,16.08,16.65,18.08,18.75
ALLSKY_SFC_SW_DWN,1984,9.5,-74.5,19.22,19.68,20.94,21.33,19.93,18.36,19.5,18.97,18.95,16.68,16.56,19.07,19.1
ALLSKY_SFC_SW_DWN,1984,9.5,-75.5,17.75,18.17,19.1,20.63,18.93,16.84,18.01,17.62,17.34,15.45,15.33,17.93,17.76
ALLSKY_SFC_SW_DWN,1984,9.5,-76.5,16.87,17.19,18.49,19.16,19.32,15.37,16.14,16.95,15.88,14.88,14.31,18.21,16.91
ALLSKY_SFC_SW_DWN,1985,10.5,-71.5,20.56,21.59,21.73,21.91,20.67,20.02,21.58,21.56,21.32,17.91,17.38,18.01,20.34
ALLSKY_SFC_SW_DWN,1985,10.5,-72.5,19.01,19.74,19.05,18.72,17.49,18.05,19.66,19.74,19.63,17.12,15.71,16.86,18.39
ALLSKY_SFC_SW_DWN,1985,10.5,-73.5,20.13,21.29,20.89,19.78,18.65,18.42,19.49,19.05,20.3,16.62,16.12,17.64,19.02
ALLSKY_SFC_SW_DWN,1985,10.5,-74.5,21.26,21.74,22.56,22.23,19.15,18.84,19.17,19.36,19.65,17.31,16.65,18.54,19.69
ALLSKY_SFC_SW_DWN,1985,10.5,-75.5,19.2,20.62,21.24,20.85,18.83,17.71,17.83,18.63,18.67,16.17,17.55,17.5,18.72
ALLSKY_SFC_SW_DWN,1985,10.5,-76.5,19.4,20.61,20.73,21.85,20.34,17.17,18.56,18.38,18.67,15.16,17.92,17.27,18.82
ALLSKY_SFC_SW_DWN,1985,11.5,-71.5,20.26,21.01,22.41,22.27,21.8,20.46,22.29,22.49,22.13,18.37,17.72,17.66,20.74
