PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1984,10.0,-71.25,32.58,23.8,15.74,36.99,51.14,41.37,150.23,108.82,112.75,192.88,48.96,26.27,841.53
PRECTOTCORR_SUM,1984,10.0,-71.875,16.87,24.52,19.62,40.28,50.46,45.22,159.11,90.03,163.25,208.5,82.81,13.56,914.23
PRECTOTCORR_SUM,1984,10.0,-72.5,14.89,24.07,20.52,41.59,50.36,46.54,160.15,88.65,170.29,209.09,90.16,11.75,928.06
PRECTOTCORR_SUM,1984,10.0,-73.125,8.8,14.72,13.06,38.71,63.42,51.7,136.26,84.35,165.27,171.69,84.32,6.65,838.95
PRECTOTCORR_SUM,1984,10.0,-73.75,3.76,7.61,5.79,27.86,63.75,49.66,106.24,71.12,110.67,120.74,49.58,2.2,618.98
PRECTOTCORR_SUM,1984,10.0,-74.375,2.0,6.35,5.82,21.68,60.9,54.0,95.8,71.11,82.97,103.0,34.14,0.94,538.71
PRECTOTCORR_SUM,1984,10.0,-75.0,0.91,6.13,7.93,14.85,55.25,63.4,77.04,76.75,72.05,105.2,25.36,1.68,506.55
PRECTOTCORR_SUM,1984,10.0,-75.625,8.86,6.84,6.05,7.43,51.96,95.39,98.77,108.51,99.09,139.34,37.58,2.1,661.92
PRECTOTCORR_SUM,1984,10.0,-76.25,16.39,8.39,3.59,5.46,60.88,112.95,112.59,123.55,112.56,155.89,53.21,1.67,767.13
PRECTOTCORR_SUM,1984,10.0,-76.875,19.73,9.61,4.3,6.62,73.9,125.06,119.82,129.22,120.32,168.09,64.31,2.94,843.92
PRECTOTCORR_SUM,1984,10.5,-71.25,20.39,15.11,8.08,27.58,34.71,34.49,146.23,61.02,96.13,159.54,44.83,16.31,664.42
PRECTOTCORR_SUM,1984,10.5,-71.875,10.52,16.88,13.14,32.7,50.6,54.25,167.93,87.29,171.57,179.1,103.8,5.77,893.55
PRECTOTCORR_SUM,1984,10.5,-72.5,9.38,16.74,14.64,35.04,56.22,58.82,170.96,96.72,190.41,184.23,119.6,4.32,957.08
PRECTOTCORR_SUM,1984,10.5,-73.125,4.87,10.35,9.67,34.85,71.36,60.48,162.81,100.88,183.9,158.67,113.81,2.83,914.48
PRECTOTCORR_SUM,1984,10.5,-73.75,1.63,5.76,3.62,25.43,65.31,50.06,145.46,83.79,110.05,115.4,69.06,1.07,676.64
PRECTOTCORR_SUM,1984,10.5,-74.375,0.86,4.43,1.86,18.7,57.78,45.06,131.02,74.94,63.97,94.97,43.64,0.39,537.62
