PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1984,10.0,-71.25,27.61,28.34,28.68,28.6,28.67,29.33,28.31,28.3,27.54,27.11,26.58,27.06,28.01
T2M,1984,10.0,-71.875,27.56,27.96,28.05,28.17,28.54,28.97,27.95,28.1,27.32,27.23,26.66,26.45,27.75
T2M,1984,10.0,-72.5,26.54,27.4,28.14,28.42,28.46,28.78,27.12,27.21,26.05,25.41,24.98,24.5,26.91
T2M,1984,10.0,-73.125,21.63,22.54,23.56,23.9,23.62,23.44,22.07,22.22,21.02,20.77,20.46,19.93,22.09
T2M,1984,10.0,-73.75,29.63,30.42,31.68,31.22,30.34,29.76,28.59,28.56,26.92,26.83,26.51,27.99,29.03
T2M,1984,10.0,-74.375,29.54,30.39,31.3,30.95,30.29,28.98,27.92,28.15,26.7,26.87,26.82,28.54,28.87
T2M,1984,10.0,-75.0,28.6,29.37,30.18,30.23,29.7,28.24,27.57,27.68,26.61,26.83,26.59,27.85,28.29
T2M,1984,10.0,-75.625,27.59,28.02,28.54,28.66,28.46,28.19,27.78,27.78,27.15,27.36,26.92,27.16,27.8
T2M,1984,10.0,-76.25,27.05,26.85,26.87,26.79,27.3,27.85,27.74,27.73,27.32,27.65,27.21,26.75,27.26
T2M,1984,10.0,-76.875,26.74,26.52,26.61,26.65,27.08,27.52,27.5,27.49,27.12,27.48,27.08,26.6,27.03
T2M,1984,10.5,-71.25,28.0,29.18,29.36,29.88,29.84,30.72,28.7,28.83,27.93,27.19,26.69,26.93,28.6
T2M,1984,10.5,-71.875,27.43,28.34,28.43,28.94,29.27,29.62,28.05,28.27,27.2,26.65,26.22,25.86,27.85
T2M,1984,10.5,-72.5,23.45,24.38,24.75,25.48,25.46,25.6,23.91,24.1,22.79,22.49,22.17,21.62,23.85
T2M,1984,10.5,-73.125,20.98,22.1,22.85,23.58,23.51,23.3,21.99,22.15,21.54,21.02,20.85,19.48,21.94
T2M,1984,10.5,-73.75,21.55,22.41,23.48,23.62,22.91,22.58,21.44,21.57,20.58,20.51,20.3,20.69,21.8
T2M,1984,10.5,-74.375,28.18,28.97,29.78,29.64,29.14,28.2,26.97,27.15,26.19,26.33,26.15,27.42,27.84
T2M,1984,10.5,-75.0,28.52,28.98,29.52,29.56,29.6,28.65,27.88,27.86,27.2,27.33,27.0,27.61,28.31
T2M,1984,10.5,-75.625,27.39,27.67,27.74,27.82,28.15,28.29,28.0,27.84,27.39,27.73,27.29,26.53,27.65
